C:\WinT,A100\DIL805.PR,O\Data\Def,ormation,\SalimAlha,bsi\Ti64,\Basic file\,039_Compress,ion_Salim_Ti6,4_850_-2,.0_CoolQu,ench_012_.,asc
No.,Time,Tem.1,DL,Force,Strain,kf (Def.),Phi  (D),Phi* (D),Tem.2,Tem.3,Poti,HF
,s,∞C,µm,N,%,N/mm≤,,1/s,∞C,∞C,mm,%
11957,2057.4646,850,-4905.1,569,49.05,14.7646,0.6825,-0.0003,-20,-20,5.4653,33.04
11958,2057.472168,850.1,-4905.38,567.3,49.05,14.72,0.6825,-0.0002,-20,-20,5.4654,33.01
11959,2057.47998,850,-4905.04,565.8,49.05,14.6807,0.6825,-0.0004,-20,-20,5.4654,33.06
11960,2057.487549,850.1,-4904.82,563.1,49.05,14.612,0.6824,-0.0005,-20,-20,5.4655,32.98
11961,2057.495361,850.1,-4904.88,559.4,49.05,14.5168,0.6824,-0.0007,-20,-20,5.4656,33.02
11962,2057.503174,850.1,-4904.99,557.9,49.05,14.4763,0.6824,-0.0007,-20,-20,5.4656,33.03
11963,2057.510742,850,-4904.66,555.8,49.05,14.4225,0.6824,-0.0007,-20,-20,5.4657,32.95
11964,2057.518555,849.9,-4904.38,553.4,49.04,14.3612,0.6823,-0.0006,-20,-20,5.4658,32.96
11965,2057.526123,849.9,-4904.6,551.5,49.05,14.3131,0.6824,-0.0007,-20,-20,5.4659,33.05
11966,2057.533936,849.9,-4904.77,549.3,49.05,14.2541,0.6824,-0.0006,-20,-20,5.4659,33.1
11967,2057.541504,850,-4904.66,547.6,49.05,14.2106,0.6824,-0.0006,-20,-20,5.466,33.06
11968,2057.549316,850,-4904.66,544.9,49.05,14.1412,0.6824,-0.0004,-20,-20,5.4661,33.05
11969,2057.556885,850,-4904.71,543.4,49.05,14.1009,0.6824,-0.0004,-20,-20,5.4661,33.09
11970,2057.564697,850,-4904.77,540.6,49.05,14.0276,0.6824,-0.0003,-20,-20,5.4662,33.15
11971,2057.572266,850,-4904.71,538.9,49.05,13.984,0.6824,-0.0004,-20,-20,5.4663,33.02
11972,2057.580078,849.9,-4904.55,536.5,49.05,13.9223,0.6824,-0.0004,-20,-20,5.4663,33.16
11973,2057.587646,849.9,-4904.66,534.5,49.05,13.8709,0.6824,-0.0004,-20,-20,5.4664,33.17
11974,2057.595459,850,-4904.38,532,49.04,13.8059,0.6823,-0.0005,-20,-20,5.4665,33.17
11975,2057.603027,850,-4904.6,531.1,49.05,13.7833,0.6824,-0.0005,-20,-20,5.4666,32.98
11976,2057.61084,850.1,-4904.49,527.5,49.04,13.6887,0.6823,-0.0007,-20,-20,5.4666,32.93
11977,2057.618408,850,-4904.66,524.8,49.05,13.6188,0.6824,-0.0005,-20,-20,5.4667,32.93
11978,2057.626221,850.2,-4904.44,522.5,49.04,13.5609,0.6823,-0.0006,-20,-20,5.4668,33.04
11979,2057.634033,850.1,-4904.49,520.3,49.04,13.5023,0.6823,-0.0005,-20,-20,5.4669,33.02
11980,2057.641602,850.1,-4904.44,517.9,49.04,13.4404,0.6823,-0.0006,-20,-20,5.4669,32.76
11981,2057.649414,850.1,-4904.44,515.4,49.04,13.3746,0.6823,-0.0005,-20,-20,5.467,32.9
11982,2057.656982,850,-4904.44,513.5,49.04,13.3271,0.6823,-0.0005,-20,-20,5.4671,33.01
11983,2057.664795,850,-4904.16,511.1,49.04,13.2657,0.6823,-0.0004,-20,-20,5.4672,33.05
11984,2057.672363,850.1,-4904.22,508.6,49.04,13.1998,0.6823,-0.0005,-20,-20,5.4672,32.93
11985,2057.680176,850,-4904.38,507.8,49.04,13.1775,0.6823,-0.0004,-20,-20,5.4673,32.96
11986,2057.687744,850,-4904.49,502.8,49.04,13.0493,0.6823,-0.0005,-20,-20,5.4674,32.98
11987,2057.695557,850,-4904.6,502.3,49.05,13.0344,0.6824,-0.0004,-20,-20,5.4675,33.02
11988,2057.703125,850,-4904.44,500.6,49.04,12.991,0.6823,-0.0005,-20,-20,5.4675,33
11989,2057.710938,850.1,-4904.05,497.6,49.04,12.9153,0.6823,-0.0005,-20,-20,5.4676,33
11990,2057.718506,850,-4904.11,495.5,49.04,12.8603,0.6823,-0.0007,-20,-20,5.4677,33.01
11991,2057.726318,850,-4904.16,493.1,49.04,12.7981,0.6823,-0.0005,-20,-20,5.4678,32.92
11992,2057.734131,850,-4904.22,489.9,49.04,12.7139,0.6823,-0.0005,-20,-20,5.4678,33.02
11993,2057.741699,850,-4904.05,488.9,49.04,12.6888,0.6823,-0.0004,-20,-20,5.4679,32.97
11994,2057.749512,850,-4904.44,485.5,49.04,12.6001,0.6823,-0.0005,-20,-20,5.468,33.17
11995,2057.75708,849.9,-4904.05,484.5,49.04,12.5755,0.6823,-0.0006,-20,-20,5.4681,33.2
