C:\WinT,A100\DIL805.PR,O\Data\Def,ormation,\SalimAlha,bsi\Ti64,\Basic file\,058_Compress,ion_Salim_Ti6,4_850_-2,.0_CoolPo,werOff_010_,.asc
No.,Time,Tem.1,DL,Force,Strain,kf (Def.),Phi  (D),Phi* (D),Tem.2,Tem.3,Poti,HF
,s,∞C,µm,N,%,N/mm≤,,1/s,∞C,∞C,mm,%
127,63.341724,286.6,22.58,3.6,-0.23,0.1814,0,0,-20,-20,24.7692,20.7
128,63.893944,289.5,22.8,2,-0.23,0.1024,0,0,-20,-20,24.7692,20.82
129,64.44828,292.3,23.06,3,-0.23,0.1527,0,0,-20,-20,24.7692,20.75
130,65.000694,294.8,23.34,3,-0.23,0.1527,0,0,-20,-20,24.7692,20.95
131,65.554993,297.5,23.64,3.3,-0.24,0.1671,0,0,-20,-20,24.7692,21.29
132,66.107285,300.6,23.88,2.1,-0.24,0.1096,0,0,-20,-20,24.7692,20.71
133,66.661499,303.2,24.13,3.3,-0.24,0.1671,0,0,-20,-20,24.7692,21.26
134,67.213844,306,24.51,2.7,-0.25,0.1384,0,0,-20,-20,24.7692,21.29
135,67.768166,308.8,24.78,3.3,-0.25,0.1671,0,0,-20,-20,24.7692,21.31
136,68.320702,311.5,25.05,3.1,-0.25,0.1599,0,0,-20,-20,24.7692,21.42
137,68.875008,314.4,25.34,2.1,-0.25,0.1096,0,0,-20,-20,24.7692,21.42
138,69.427422,317.1,25.61,2.9,-0.26,0.1456,0,0,-20,-20,24.7692,21.39
139,69.981728,319.9,25.96,3.6,-0.26,0.1815,0,0,-20,-20,24.7693,21.47
140,70.534058,322.6,26.28,2.9,-0.26,0.1456,0,0,-20,-20,24.7692,21.73
141,71.088448,325.4,26.59,3.1,-0.27,0.1599,0,0,-20,-20,24.7692,21.9
142,71.640961,328.2,26.83,2.9,-0.27,0.1456,0,0,-20,-20,24.7692,21.71
143,72.195259,331,27.13,2.9,-0.27,0.1456,0,0,-20,-20,24.7692,22.02
144,72.747429,333.8,27.47,2.3,-0.27,0.1168,0,0,-20,-20,24.7692,21.93
145,73.301704,336.3,27.7,2.9,-0.28,0.1456,0,0,-20,-20,24.7692,22.3
146,73.854103,339.3,27.97,1.9,-0.28,0.0953,0,0,-20,-20,24.7692,22.32
147,74.408409,342.1,28.38,3,-0.28,0.1528,0,0,-20,-20,24.7692,22.14
148,74.96077,344.8,28.57,1.7,-0.29,0.0881,0,0,-20,-20,24.7692,22.34
149,75.515213,347.6,28.92,2.4,-0.29,0.124,0,0,-20,-20,24.7692,22.19
150,76.067635,350.3,29.14,3.1,-0.29,0.16,0,0,-20,-20,24.7692,22.62
151,76.62188,353.1,29.49,2.9,-0.29,0.1456,0,0,-20,-20,24.7692,22.52
152,77.174271,355.9,29.82,2.3,-0.3,0.1169,0,0,-20,-20,24.7692,22.7
153,77.72834,358.6,30.13,2.4,-0.3,0.124,0,0,-20,-20,24.7692,22.71
154,78.280579,361.3,30.43,2.4,-0.3,0.1241,0,0,-20,-20,24.7692,22.63
155,78.83477,364.1,30.7,2.6,-0.31,0.1312,0,0,-20,-20,24.7692,22.86
156,79.38723,366.9,31.02,3,-0.31,0.1528,0,0,-20,-20,24.7692,22.96
157,79.941559,369.7,31.36,2.6,-0.31,0.1313,0,0,-20,-20,24.7693,23.2
158,80.493927,372.4,31.67,3,-0.32,0.1528,0,0,-20,-20,24.7692,23.16
159,81.04818,375.2,32.02,3,-0.32,0.1528,0,0,-20,-20,24.7692,23.15
160,81.600594,378,32.28,3.1,-0.32,0.16,0,0,-20,-20,24.7692,23.32
161,82.154884,380.7,32.62,3.1,-0.33,0.16,0,0,-20,-20,24.7692,23.41
162,82.70723,383.5,32.96,3,-0.33,0.1529,0,0,-20,-20,24.7692,23.33
163,83.26165,386.1,33.27,3.1,-0.33,0.1601,0,0,-20,-20,24.7692,23.62
164,83.814049,389,33.64,2,-0.34,0.1025,0,0,-20,-20,24.7692,23.54
165,84.368279,391.8,33.84,3.6,-0.34,0.1816,0,0,-20,-20,24.7692,23.6
166,84.920769,394.6,34.3,2.3,-0.34,0.1169,0,0,-20,-20,24.7692,23.58
167,85.475044,397.4,34.52,2.9,-0.35,0.1457,0,0,-20,-20,24.7692,23.76
168,86.027336,400.1,34.88,3.6,-0.35,0.1817,0,0,-20,-20,24.7692,23.72
169,86.581635,403.1,35.21,2.3,-0.35,0.1169,0,0,-20,-20,24.7692,23.65
170,87.134186,405.7,35.56,2.3,-0.36,0.1169,0,0,-20,-20,24.7692,23.95
171,87.688553,408.5,35.84,3,-0.36,0.1529,0,0,-20,-20,24.7693,23.82
172,88.240883,411,36.26,2.4,-0.36,0.1241,0,0,-20,-20,24.7692,24.23
173,88.795021,414,36.51,2.1,-0.37,0.1097,0,0,-20,-20,24.7692,23.98
174,89.347496,416.7,36.82,2.1,-0.37,0.1097,0,0,-20,-20,24.7692,24.27
175,89.901886,419.4,37.2,2.4,-0.37,0.1241,0,0,-20,-20,24.7692,24.23
176,90.454285,422.3,37.53,1.7,-0.38,0.0882,0,0,-20,-20,24.7692,24.3
177,91.008789,425.2,37.89,3.1,-0.38,0.1601,0,0,-20,-20,24.7692,24.28
178,91.561157,427.7,38.22,3.4,-0.38,0.1745,0,0,-20,-20,24.7692,24.45
179,92.115387,430.5,38.44,3.6,-0.38,0.1817,0,0,-20,-20,24.7692,24.46
180,92.667809,433.5,38.8,2.9,-0.39,0.1457,0,0,-20,-20,24.7692,24.62
181,93.222168,436.2,39.18,2.7,-0.39,0.1386,0,0,-20,-20,24.7692,24.73
182,93.774666,438.9,39.5,3,-0.39,0.153,0,0,-20,-20,24.7692,24.74
183,94.328934,441.7,39.82,3,-0.4,0.153,0,0,-20,-20,24.7692,24.74
184,94.881203,444.4,40.16,2.9,-0.4,0.1458,0,0,-20,-20,24.7692,24.85
185,95.433807,447.1,40.48,2.9,-0.4,0.1458,0,0,-20,-20,24.7692,25.02
186,95.987953,450,40.72,2.3,-0.41,0.117,0,0,-20,-20,24.7692,24.98
187,96.54229,452.7,41.1,2.6,-0.41,0.1314,0,0,-20,-20,24.7692,25.05
188,97.094696,455.3,41.48,2.9,-0.41,0.1458,0,0,-20,-20,24.7692,25.24
189,97.647232,458.1,41.77,3.4,-0.42,0.1746,0,0,-20,-20,24.7692,25.2
190,98.201508,460.9,42.11,2.3,-0.42,0.117,0,0,-20,-20,24.7692,25.27
191,98.753944,463.7,42.48,1.7,-0.42,0.0882,0,0,-20,-20,24.7692,25.23
192,99.308281,466.5,42.79,2.1,-0.43,0.1098,0,0,-20,-20,24.7692,25.4
193,99.860634,469.2,43.12,3.6,-0.43,0.1818,0,0,-20,-20,24.7692,25.54
194,100.415207,472,43.4,2.7,-0.43,0.1386,0,0,-20,-20,24.7692,25.65
195,100.967491,474.7,43.77,2.3,-0.44,0.117,0,0,-20,-20,24.7692,25.83
196,101.52182,477.6,44.19,3,-0.44,0.153,0,0,-20,-20,24.7692,25.57
197,102.07412,480.3,44.45,2.6,-0.44,0.1314,0,0,-20,-20,24.7692,25.74
198,102.628319,483.2,44.78,2,-0.45,0.1026,0,0,-20,-20,24.7692,25.74
199,103.180809,485.9,45.17,2.9,-0.45,0.1458,0,0,-20,-20,24.7692,25.88
200,103.735023,488.6,45.48,2.6,-0.45,0.1314,0,0,-20,-20,24.7692,25.95
